Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8466269969940186;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0821611881256104;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.939194917678833;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0637459754943848;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.3013293743133545;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.774317741394043;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8623769283294678;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7934300899505615;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.789287805557251;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.9260199069976807;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.9265491962432861;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.215681552886963;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.677614688873291;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.4349987506866455;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8179287910461426;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.3370661735534668;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.5385472774505615;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1148440837860107;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.1607797145843506;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7533414363861084;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5219738483428955;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5028681755065918;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.7716116905212402;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.1099183559417725;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.648167610168457;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.8281786441802979;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8141870498657227;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.305124282836914;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2106618881225586;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.6412999629974365;0-2;Zero bit-flip
negative;../stdlib/strtol_l.c;228;0.7740442752838135;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.3018779754638672;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.1553537845611572;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7380454540252686;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8658406734466553;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1697502136230469;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.887127161026001;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5490937232971191;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.6939263343811035;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.5517756938934326;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5854170322418213;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.3885033130645752;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8464314937591553;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.5848987102508545;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.4721417427062988;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2234952449798584;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.0243546962738037;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.054426908493042;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.8537516593933105;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.3129136562347412;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7086875438690186;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7469782829284668;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.9116125106811523;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1521525382995605;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2277815341949463;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.0908308029174805;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1351330280303955;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1945176124572754;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1591033935546875;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.0222163200378418;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8502583503723145;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.2596726417541504;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.5425136089324951;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.5938136577606201;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.584726095199585;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.3254356384277344;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.7434413433074951;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.5399208068847656;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.1198275089263916;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.6912429332733154;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.059509038925171;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.0243277549743652;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7132613658905029;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.889746904373169;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.3499629497528076;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.1933209896087646;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2326114177703857;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.3792715072631836;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.2990849018096924;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.294351577758789;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1923267841339111;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5494742393493652;0-2;Zero bit-flip
buf;iogetline.c;47;0.42446064949035645;0-2;Zero bit-flip
negative;../stdlib/strtol_l.c;228;1.3149423599243164;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.4787132740020752;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.6694324016571045;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.3638525009155273;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.5109658241271973;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;0.9468903541564941;0-2;Zero bit-flip
_IO_file_jumps_mmap;fileops.c;1562;1.2038743495941162;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.8931896686553955;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1184871196746826;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.4401445388793945;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.8361859321594238;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.0574514865875244;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.3713672161102295;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.8816118240356445;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6070196628570557;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.337730884552002;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.7069895267486572;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8151426315307617;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.6841728687286377;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.775707483291626;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.8162322044372559;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6529414653778076;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.3671815395355225;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.7022881507873535;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.7913899421691895;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0652892589569092;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.5109860897064209;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0464239120483398;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6252591609954834;0-2;Zero bit-flip
undef_name;dl-lookup.c;801;0.6443779468536377;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.091658115386963;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.0349509716033936;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.984886646270752;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.557732343673706;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.1590442657470703;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;0.8322463035583496;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.1019902229309082;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.5464661121368408;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6883208751678467;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.4808809757232666;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;0.6812717914581299;0-2;Zero bit-flip
_IO_file_jumps_maybe_mmap;fileops.c;1586;1.5769433975219727;0-2;Zero bit-flip
_IO_file_jumps;fileops.c;1560;1.2427046298980713;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;0.6492080688476562;0-2;Zero bit-flip
__GI__IO_file_jumps;fileops.c;1537;1.365243673324585;0-2;Zero bit-flip
